471,Reggie Bullock,North Carolina,1.98,93,SF,29
472,Josh Green,Arizona,1.98,95,SF,29
473,D.Finney-Smith,Florida,2.01,100,PF,29
474,Maxi Kleber,Alemania,2.07,109,PF,29
475,Davis Bertans,Eslovenia,2.08,102,PF,29
476,JaVale McGee,Nevada,2.13,122,C,29
477,Christian Wood,UNLV,2.08,101,C,29
478,Dwight Powell,Stanford,2.08,109,C,29
479,Jaden Hardy,NBA G-League,1.93,90,PG,29
480,McKinley Wright (D),Colorado,1.83,88,PG,29
481,JA Morant,Murray State,1.89,79,PG,30
482,Tyus Jones,Duke,1.84,89,PG,30
483,Kennedy Chandler,Tennessee,1.83,78,PG,30
484,Desmond Bane,TCU,1.98,98,SG,30
485,John Konchar,Purdue Fort Wayne,1.97,95,SG,30
486,Vince Williams Jr.,VCU,1.98,93,SG,30
487,Dillon Brooks,Oregon,1.99,100,SF,30
488,Zlaire Williams,Stanford,2.04,84,SF,30
489,David Roddy,Colorado State,1.96,118,SF,30
490,Danny Green,North Carolina,1.98,98,SF,30
491,Santi Alcama,Loyola,2.11,102,PF,30
492,Brandon Clarke,Gonzaga,2.03,95,PF,30
493,Jake LaRavia,Wake Forest,2.01,103,PF,30
494,Jaren Jackson Jr.,Michigan State,2.11,110,PF,30
495,Steven Adams,Pittsburgh,2.11,120,C,30
496,Xavier Tillman,Michigan State,2.03,111,C,30
497,Kennet Lofton Jr,Luisiana Tech,1.98,127,C,30
